,category,strain,url
0,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_ki3hhw1u.gun.jpg
1,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/chemdawg_100x100_yfmj3cwg.1ov.jpg
2,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_qs3byq0b.kj1.jpg
3,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/skywalker_100x100_9903.jpg
4,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/platinum-girl-scout-cookies_100x100_0318.jpg
5,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/skywalker_100x100_69c2.jpg
6,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_n45zogx1.1r2.jpg
7,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_b1sowulq.ter.jpg
8,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_ey1ewujr.hvq.jpg
9,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/skywalker_100x100_c61c.jpg
10,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/skywalker_100x100_2829.jpg
11,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/skywalker_100x100_def0.jpg
12,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_g32pg1za.zcy.jpg
13,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/platinum-girl-scout-cookies_100x100_6cae.jpg
14,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/skywalker_100x100_70a0.jpg
15,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/chemdawg_100x100_0r3xoonm.5oj.jpg
16,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/platinum-girl-scout-cookies_100x100_a444.jpg
17,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/platinum-girl-scout-cookies_100x100_9d36.jpg
18,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/chemdawg_100x100_skfk4sit.rp4.jpg
19,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/chemdawg_100x100_4d1bwwrd.bda.jpg
20,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/platinum-girl-scout-cookies_100x100_8cec.jpg
21,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/platinum-girl-scout-cookies_100x100_5e31.jpg
22,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/chemdawg_100x100_0udvsfi3.tt3.jpg
23,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/chemdawg_100x100_mretfkx2.n2i.jpg
24,hybrid,agent-orange,https://leafly-s3.s3.amazonaws.com/leafly/reviews/Cheese_100x100_enyb1a23.5mh.jpg
